,biol.endpoints,hydro.endpoints,InterceptCoef,VariableCoef,Deviance,AIC,NullDeviance,InterceptPvalue,VariablePvalue,Delta,n
51,ASCI,DS_Mag_90,-0.051568048,0.351700756,198.1985344,202.1985344,206.2342363,0.769644193,0.074147736,Negative,150
52,ASCI,DS_Tim,-0.968160598,0.003788617,256.1966446,260.1966446,257.5697459,5.57E-07,0.261030427,Negative,230
53,ASCI,FA_Dur,-1.341096202,0.246375806,11.66454633,15.66454633,12.55795545,0.206249233,0.481665978,Negative,18
54,ASCI,FA_Mag,-0.862247367,-0.006355546,11.41917641,15.41917641,11.45725503,0.445965998,0.845241208,Negative,9
55,ASCI,FA_Tim,-1.06087814,0.034664674,21.67318605,25.67318605,22.96651382,0.173899192,0.281896697,Negative,28
56,ASCI,Q99,0.96132333,38.68381242,91.09750423,95.09750423,97.6481472,0.000594477,0.021501759,Negative,76
57,ASCI,SP_Dur,-0.630828951,0.019640538,230.9091558,234.9091558,243.2769426,0.00408295,0.001385671,Negative,225
58,ASCI,SP_Mag,0.432052322,0.484911444,146.1136167,150.1136167,152.9714155,0.033273514,0.148529822,Negative,112
59,ASCI,SP_ROC,-0.342184257,1.76028662,221.2739091,225.2739091,225.185346,0.053458845,0.063506284,Negative,170
60,ASCI,SP_Tim,-0.70634611,0.01098028,97.66823874,101.6682387,100.5092909,0.008235668,0.143542325,Negative,84
61,ASCI,Wet_BFL_Dur,-0.391520812,0.011437186,92.5034445,96.5034445,93.27989848,0.198205786,0.406191318,Negative,71
62,ASCI,Wet_BFL_Mag_10,-0.284411884,0.456854951,230.6632144,234.6632144,242.4344815,0.127247939,0.006020023,Negative,188
63,ASCI,Wet_BFL_Mag_50,-0.840755308,0.213352412,208.1478456,212.1478456,215.1142164,4.94E-06,0.105769954,Negative,187
64,ASCI,Wet_Tim,-0.726827213,0.0159851,279.7980019,283.7980019,285.3183811,0.000190996,0.0347448,Negative,248
