site,Hydro_Metric,Biol,Threshold,Bio_threshold,Unaltered,Altered
101011,DS_Dur_WS,CSCI,Threshold75,0.63,87.5,12.5
101011,DS_Dur_WS,CSCI,Threshold75,0.79,12.5,87.5
101011,DS_Dur_WS,CSCI,Threshold75,0.92,0,100
101011,Q99,ASCI,Threshold25,0.75,100,0
101011,Q99,ASCI,Threshold25,0.86,100,0
101011,Q99,ASCI,Threshold25,0.94,96,4
101011,Q99,ASCI,Threshold50,0.75,100,0
101011,Q99,ASCI,Threshold50,0.86,100,0
101011,Q99,ASCI,Threshold50,0.94,92,8
101011,Q99,ASCI,Threshold75,0.75,100,0
101011,Q99,ASCI,Threshold75,0.86,100,0
101011,Q99,ASCI,Threshold75,0.94,64,36
101011,Q99,CSCI,Threshold25,0.63,100,0
101011,Q99,CSCI,Threshold25,0.79,100,0
101011,Q99,CSCI,Threshold25,0.92,76,24
101011,Q99,CSCI,Threshold50,0.63,100,0
101011,Q99,CSCI,Threshold50,0.79,100,0
101011,Q99,CSCI,Threshold50,0.92,64,36
101011,Q99,CSCI,Threshold75,0.63,100,0
101011,Q99,CSCI,Threshold75,0.79,100,0
101011,Q99,CSCI,Threshold75,0.92,32,68
101011,SP_Dur,ASCI,Threshold25,0.75,75,25
101011,SP_Dur,ASCI,Threshold25,0.86,68.75,31.25
101011,SP_Dur,ASCI,Threshold25,0.94,62.5,37.5
101011,SP_Dur,ASCI,Threshold50,0.75,62.5,37.5
101011,SP_Dur,ASCI,Threshold50,0.86,50,50
101011,SP_Dur,ASCI,Threshold50,0.94,37.5,62.5
101011,SP_Dur,ASCI,Threshold75,0.75,37.5,62.5
101011,SP_Dur,ASCI,Threshold75,0.86,37.5,62.5
101011,SP_Dur,ASCI,Threshold75,0.94,25,75
101011,SP_Tim,CSCI,Threshold25,0.63,81.25,18.75
101011,SP_Tim,CSCI,Threshold25,0.79,68.75,31.25
101011,SP_Tim,CSCI,Threshold25,0.92,62.5,37.5
101011,SP_Tim,CSCI,Threshold50,0.63,75,25
101011,SP_Tim,CSCI,Threshold50,0.79,62.5,37.5
101011,SP_Tim,CSCI,Threshold50,0.92,62.5,37.5
101011,SP_Tim,CSCI,Threshold75,0.63,68.75,31.25
101011,SP_Tim,CSCI,Threshold75,0.79,62.5,37.5
101011,SP_Tim,CSCI,Threshold75,0.92,62.5,37.5
101012,DS_Dur_WS,ASCI,Threshold25,0.75,100,0
101012,DS_Dur_WS,ASCI,Threshold25,0.86,88.88888889,11.11111111
101012,DS_Dur_WS,ASCI,Threshold25,0.94,55.55555556,44.44444444
101012,DS_Dur_WS,ASCI,Threshold50,0.75,88.88888889,11.11111111
101012,DS_Dur_WS,ASCI,Threshold50,0.86,77.77777778,22.22222222
101012,DS_Dur_WS,ASCI,Threshold50,0.94,44.44444444,55.55555556
101012,DS_Dur_WS,ASCI,Threshold75,0.75,66.66666667,33.33333333
101012,DS_Dur_WS,ASCI,Threshold75,0.86,44.44444444,55.55555556
101012,DS_Dur_WS,ASCI,Threshold75,0.94,33.33333333,66.66666667
101012,DS_Dur_WS,CSCI,Threshold25,0.63,100,0
101012,DS_Dur_WS,CSCI,Threshold25,0.79,77.77777778,22.22222222
101012,DS_Dur_WS,CSCI,Threshold25,0.92,33.33333333,66.66666667
101012,DS_Dur_WS,CSCI,Threshold50,0.63,100,0
101012,DS_Dur_WS,CSCI,Threshold50,0.79,55.55555556,44.44444444
101012,DS_Dur_WS,CSCI,Threshold50,0.92,33.33333333,66.66666667
101012,DS_Dur_WS,CSCI,Threshold75,0.63,88.88888889,11.11111111
101012,DS_Dur_WS,CSCI,Threshold75,0.79,44.44444444,55.55555556
101012,DS_Dur_WS,CSCI,Threshold75,0.92,33.33333333,66.66666667
101012,Q99,ASCI,Threshold25,0.75,100,0
101012,Q99,ASCI,Threshold25,0.86,100,0
101012,Q99,ASCI,Threshold25,0.94,100,0
101012,Q99,ASCI,Threshold50,0.75,100,0
101012,Q99,ASCI,Threshold50,0.86,100,0
101012,Q99,ASCI,Threshold50,0.94,96,4
101012,Q99,ASCI,Threshold75,0.75,100,0
101012,Q99,ASCI,Threshold75,0.86,100,0
101012,Q99,ASCI,Threshold75,0.94,72,28
101012,Q99,CSCI,Threshold25,0.63,100,0
101012,Q99,CSCI,Threshold25,0.79,100,0
101012,Q99,CSCI,Threshold25,0.92,80,20
101012,Q99,CSCI,Threshold50,0.63,100,0
101012,Q99,CSCI,Threshold50,0.79,100,0
101012,Q99,CSCI,Threshold50,0.92,64,36
101012,Q99,CSCI,Threshold75,0.63,100,0
101012,Q99,CSCI,Threshold75,0.79,100,0
101012,Q99,CSCI,Threshold75,0.92,44,56
101012,SP_Dur,ASCI,Threshold25,0.75,75,25
101012,SP_Dur,ASCI,Threshold25,0.86,68.75,31.25
