"","site","region","scenario","year","water_year_type","flow_metric","current_value_final","current_value_note","reference_value_final","reference_value_note","watercon_value_final","watercon_value_note","deltah_cur_ref_final","deltaH_watercon_ref_final"
"63",101020,"Oso and Small Creeks",NA,2014,"Dry","SP_Tim",211,"original",NA,"original",211,"original",NA,NA
"64",101020,"Oso and Small Creeks",NA,2015,"Moderate","DS_Dur_WS",NA,"original",NA,"original",NA,"original",NA,NA
"65",101020,"Oso and Small Creeks",NA,2015,"Moderate","SP_Dur",70,"original",NA,"original",76,"original",NA,NA
"66",101020,"Oso and Small Creeks",NA,2015,"Moderate","SP_Tim",230,"original",NA,"original",230,"original",NA,NA
"67",101020,"Oso and Small Creeks",NA,2016,"Dry","DS_Dur_WS",203,"original",NA,"original",203,"original",NA,NA
"68",101020,"Oso and Small Creeks",NA,2016,"Dry","SP_Dur",67,"original",NA,"original",67,"original",NA,NA
"69",101020,"Oso and Small Creeks",NA,2016,"Dry","SP_Tim",161,"original",NA,"original",161,"original",NA,NA
"70",101020,"Oso and Small Creeks",NA,2017,"Wet","DS_Dur_WS",213,"original",NA,"original",212,"original",NA,NA
"71",101020,"Oso and Small Creeks",NA,2017,"Wet","SP_Dur",83,"original",28,"original",83,"original",55,55
"72",101020,"Oso and Small Creeks",NA,2017,"Wet","SP_Tim",144,"original",143,"original",144,"original",1,1
"73",101020,"Oso and Small Creeks",NA,2018,"Dry","DS_Dur_WS",259,"original",NA,"original",268,"original",NA,NA
"74",101020,"Oso and Small Creeks",NA,2018,"Dry","SP_Dur",16,"original",NA,"original",6,"original",NA,NA
"75",101020,"Oso and Small Creeks",NA,2018,"Dry","SP_Tim",165,"original",NA,"original",165,"original",NA,NA
"76",301010,"Oso and Small Creeks",NA,1994,"Moderate","DS_Dur_WS",220,"original",NA,"original",219,"original",NA,NA
"77",301010,"Oso and Small Creeks",NA,1994,"Moderate","SP_Dur",14,"original",NA,"original",15,"original",NA,NA
"78",301010,"Oso and Small Creeks",NA,1994,"Moderate","SP_Tim",211,"original",NA,"original",211,"original",NA,NA
"79",301010,"Oso and Small Creeks",NA,1995,"Wet","DS_Dur_WS",68,"original",264,"original",150,"original",-196,-114
"80",301010,"Oso and Small Creeks",NA,1995,"Wet","SP_Dur",145,"original",57,"original",67,"original",88,10
"81",301010,"Oso and Small Creeks",NA,1995,"Wet","SP_Tim",203,"original",177,"original",203,"original",26,26
"82",301010,"Oso and Small Creeks",NA,1996,"Moderate","DS_Dur_WS",214,"original",167,"original",215,"original",47,48
"83",301010,"Oso and Small Creeks",NA,1996,"Moderate","SP_Dur",7,"original",76,"original",7,"original",-69,-69
"84",301010,"Oso and Small Creeks",NA,1996,"Moderate","SP_Tim",168,"original",169,"original",168,"original",-1,-1
"85",301010,"Oso and Small Creeks",NA,1997,"Moderate","DS_Dur_WS",286,"original",259,"original",286,"original",27,27
"86",301010,"Oso and Small Creeks",NA,1997,"Moderate","SP_Dur",10,"original",42,"original",10,"original",-32,-32
